x,y
-10.86960213,-4.837693423
-50.17587763,-38.15641655
4.952171353,41.04798048
-36.66664848,-13.95952442
5.865177175,41.33621016
-7.512878025,-3.650756377
-2.77457746,38.54077961
3.742945411,40.65560687
-0.479097707,39.28562443
-15.78036517,-6.57413836
1.447465658,39.91076205
-1.544856163,38.93980362
-12.85877197,-5.541063524
-14.10200312,-5.980669837
-49.17411084,-37.97703165
2.164803081,40.14352605
-8.1344936,-3.870559534
-42.78784759,-36.8334529
3.599477927,40.60905407
2.021335596,40.09697325
104.2619623,-23.89490572
-5.582441087,37.62967478
92.24076086,-26.04752453
1.222016754,39.83760764
-25.10459879,-9.871185708
-24.91811412,-9.805244761
-6.64261622,-3.343031958
-40.39634193,-15.27834336
2.103317016,40.12357485
-50.86459229,-38.27974367
-5.461546628,-2.925405961
-6.331808433,-3.23313038
-15.71820361,-6.552158044
-41.03475572,-36.51952932
97.8130886,-25.04969602
-8.38313983,-3.958480797
-57.75173894,-39.51301487
-58.75350572,-39.69239977
-36.54232537,-13.91556379
-12.92093353,-5.56304384
-5.684917862,37.59642278
-7.775444066,36.91808196
96.31043843,-25.31877337
104.3871831,-23.8724826
0.443193266,39.58489244
3.537991862,40.58910287
-24.85595256,-9.783264446
-39.96121103,-15.12448115
-0.786528031,39.18586843
-10.93176369,-4.859673739
-12.48580262,-5.40918163
-6.704777778,-3.365012274
-41.53563911,-36.60922178
-55.18471155,-39.05334106
3.353533668,40.52924927
-17.70737345,-7.255528145
-6.580454663,-3.321051643
-2.118726102,38.75359241
-20.62896665,-8.288602981
-0.725041966,39.20581963
96.93654267,-25.20665781
-57.87695979,-39.53543798
-5.623431797,37.61637398
5.870626042,41.3365897
-7.160583417,37.11759396
90.73811068,-26.31660189
-45.29226455,-37.28191516
-5.834515973,-3.057287855
-45.73053752,-37.36039605
4.39879677,40.86841968
-7.326393352,-3.584815431
102.0705974,-24.28731019
97.37481563,-25.12817691
92.92947553,-25.92419741
-5.500459667,37.65627638
-23.86136764,-9.431579395
-7.447518387,37.02448836
-38.90446455,-14.75081578
5.812976261,41.32729729
-15.09658804,-6.332354888
2.308270566,40.19007885
-6.38175993,37.37030917
-29.02077691,-11.25594559
-32.00453167,-12.31100075
-4.466961708,-2.57372091
2.123812371,40.13022525
-46.04358964,-37.41645383
-51.49069653,-38.39185923
-7.450716467,-3.628776062
96.81132182,-25.22908092
-47.54623982,-37.68553118
-54.05772392,-38.85153304
-19.3857355,-7.848996668
-26.8451224,-10.48663455
-6.668694899,37.27720357
99.25312836,-24.79183022
-4.280477036,-2.507779963
89.67373348,-26.50719834
4.07087109,40.76201327
-6.156311025,37.44346357
-4.43470121,38.00209719
93.93124231,-25.74481251
-2.415630312,-1.848370494
-44.54093946,-37.14737648
-40.70714972,-15.38824494
-51.67852781,-38.4254939
-1.62595176,-1.752536673
-5.910366766,37.52326838
-30.69913896,-11.84941412
-0.315134867,39.33882763
-3.799345207,38.2082596
104.1367414,-23.91732883
102.7593121,-24.16398307
103.3228059,-24.06307906
106.7663792,-23.44644346
-32.93695503,-12.64070548
-1.442379389,38.97305562
-58.87872657,-39.71482288
-1.749809713,38.87329962
-5.254515408,37.73608118
107.5803148,-23.30069323
1.263007464,39.85090844
94.61995698,-25.62148539
-5.008571149,37.81588598
-41.47302869,-36.59801022
-23.9235292,-9.453559711
97.68786775,-25.07211913
-43.0692889,-16.22349693
-47.92190236,-37.75280052
-2.89754959,38.5008772
-21.49922846,-8.5963274
-37.16394094,-14.13536695
100.6931681,-24.53396443
2.800159084,40.34968846
4.665236384,40.95487488
-32.81263192,-12.59674485
-38.59365676,-14.64091421
-10.24798655,-4.617890266
-1.669691622,-1.584606706
-11.73986393,-5.145417842
-43.66439353,-36.99041469
-58.37784318,-39.62513043
92.80425468,-25.94662053
3.005112634,40.41619246
103.6984685,-23.99580972
-3.922317337,38.1683572
99.06529708,-24.82546489
89.79895432,-26.48477523
104.7002352,-23.81642482
-37.35042562,-14.20130789
-42.47479547,-36.77739512
102.6967017,-24.17519462
-3.266465979,38.38117
-30.07752339,-11.62961096
-33.12343971,-12.70664643
94.99561952,-25.55421606
-42.22435377,-36.73254889
-22.86678272,-9.079894345
-35.42341733,-13.51991811
-7.672967291,36.95133396
-26.59647617,-10.39871328
101.569714,-24.37700264
-0.028199898,39.43193323
-5.356992183,37.70282918
-19.51005862,-7.892957299
-60.19354548,-39.95026557
-0.048695253,39.42528283
-55.99864706,-39.19909129
-2.726438099,-1.958272072
102.884533,-24.14155996
-4.59866405,37.94889399
-1.585846873,38.92650282
5.848830573,41.33507154
5.587527356,41.25414289
-40.83147283,-15.43220557
105.1385082,-23.73794393
-7.88584737,-3.782638271
-17.76953501,-7.277508461
2.472233405,40.24328206
3.804431476,40.67555807
5.567032001,41.24749249
-0.397116287,39.31222603
-5.418478247,37.68287798
-60.81964972,-40.06238113
105.3889499,-23.6930977
-7.386032322,37.04443956
-41.66085996,-36.63164489
89.4859022,-26.54083301
5.925114717,41.3403851
-41.97391208,-36.68770267
-52.86812586,-38.63851347
-42.1990271,-15.91577251
-4.762626889,37.89569079
92.36598171,-26.02510142
-2.077735392,38.76689321
-21.8721978,-8.728209294
-38.22068742,-14.50903231
107.8933669,-23.24463545
-47.42101897,-37.66310807
-33.06127815,-12.68466611
-1.688323648,38.89325082
-36.29367914,-13.82764253
98.18875115,-24.98242668
4.132357155,40.78196447
-22.36949026,-8.904051819
-24.98027568,-9.827225077
-56.31169919,-39.25514907
-41.01795751,-15.49814652
-33.68289372,-12.90446927
-27.90186888,-10.86029991
-43.03828929,-36.87829913
-26.03702215,-10.20089044
94.30690486,-25.67754317
106.3281063,-23.52492436
-5.520955022,37.64962598
-6.566218124,37.31045557
-21.4370669,-8.574347085
-14.91010337,-6.266413941
-29.7667156,-11.51970938
1.058053914,39.78440444
103.5106372,-24.02944439
-0.766032676,39.19251883
-12.98309508,-5.585024155
-38.96662611,-14.7727961
91.48943577,-26.18206321
-39.21527234,-14.86071736
-44.1026665,-37.06889559
-19.01276616,-7.717114774
-45.10443328,-37.24828049
-31.44507765,-12.11317791
-35.11260955,-13.41001653
-37.10177939,-14.11338663
4.27582464,40.82851727
-50.92720272,-38.29095523
-55.24732198,-39.06455261
4.480778189,40.89502128
97.12437394,-25.17302314
-2.385165716,38.66713721
97.62525733,-25.08333069
98.0635303,-25.00484979
-8.693947617,-4.068382375
-36.85313316,-14.02546537
-0.192162737,39.37873003
96.68610097,-25.25150403
-2.426156426,38.65383641
-5.930862121,37.51661798
1.242512109,39.84425804
-1.856176294,-1.650547653
-40.34604105,-36.3962022
3.312542958,40.51594846
-1.634699733,-1.718950679
91.17638365,-26.23812099
-6.996620578,37.17079717
4.173347865,40.79526527
-52.68029459,-38.6048788
-3.655877722,38.2548124
108.7073024,-23.09888522
-60.0057142,-39.9166309
-37.90987963,-14.39913073
-42.634158,-16.06963472
-23.23975207,-9.211776239
-17.95601968,-7.343449408
94.6825674,-25.61027384
-9.750694094,-4.442047741
-39.84515766,-36.30650975
-60.75703929,-40.05116957
-58.00218063,-39.55786109
4.521768899,40.90832208
-49.54977339,-38.04430099
-0.827518741,39.17256762
-8.445301387,-3.980461112
-46.54447303,-37.50614628
-3.204979914,38.4011212
-49.23672127,-37.98824321
-21.99652092,-8.772169925
4.029880381,40.74871247
-37.6612334,-14.31120947
-51.30286526,-38.35822457
-6.525227414,37.32375637
-19.57222018,-7.914937615
5.608022711,41.26079329
96.99915309,-25.19544625
-41.28519741,-36.56437555
-0.684051256,39.21912043
-0.274144157,39.35212843
1.734400627,40.00386765
5.924348488,41.3859255
5.485050581,41.22089089
107.768146,-23.26705856
-57.37607639,-39.44574553
-6.402255285,37.36365877
-39.97037851,-36.32893287
-2.282688941,38.70038921
-4.004298756,38.14175559
104.8254561,-23.79400171
-1.831791133,38.84669802
-53.7446718,-38.79547526
-42.57199644,-16.04765441
-28.21267667,-10.97020149
96.56088012,-25.27392715
-34.86396332,-13.32209527
-40.53387232,-36.42983687
-7.468013742,37.01783796
-2.61061462,38.59398281
5.859728308,41.33583062
102.5088704,-24.20882929
96.247828,-25.32998493
-29.08293847,-11.27792591
0.70963288,39.67134764
95.87216546,-25.39725427
-42.09913293,-36.71012578
-5.172533988,37.76268278
-1.631783742,-1.730146011
-54.43338646,-38.91880238
-14.66145714,-6.178492678
-13.97768,-5.936709206
-2.323679651,38.68708841
-4.270738371,38.05530039
-45.04182286,-37.23706893
-41.09736614,-36.53074088
102.6340913,-24.18640618
-21.31274379,-8.530386453
-34.67747864,-13.25615432
-6.504732059,37.33040677
4.091366445,40.76866367
103.0097538,-24.11913684
-47.17057727,-37.61826185
-44.47832904,-37.13616492
-4.127270886,38.10185319
103.1975851,-24.08550217
-2.85655888,38.51417801
2.32876592,40.19672926
-41.70173464,-15.73992999
-0.704546611,39.21247003
-1.073463,39.09276282
-9.066916962,-4.200264269
-6.873648448,37.21069957
-2.303184296,38.69373881
-5.111047923,37.78263398
98.31397199,-24.96000357
1.488456368,39.92406285
-4.168261596,38.08855239
101.1314411,-24.45548353
-1.278416549,39.02625882
104.4497936,-23.86127105
-60.69442887,-40.03995802
-9.377724749,-4.310165847
4.542264254,40.91497248
-7.099097353,37.13754516
-42.32335021,-15.95973315
-3.983803402,38.14840599
100.6305577,-24.54517598
97.87569903,-25.03848446
-59.69266208,-39.86057312
89.9867856,-26.45114056
-2.850761214,-2.002232703
4.583254964,40.92827328
107.3924835,-23.3343279
90.86333153,-26.29417877
5.136629547,41.10783408
-30.26400806,-11.69555191
-17.52088878,-7.189587198
-33.24776282,-12.75060706
101.3818828,-24.41063731
-17.64521189,-7.23354783
-37.03961783,-14.09140631
91.80248789,-26.12600543
-1.811295778,38.85334842
109.3334066,-22.98676965
-34.80180176,-13.30011495
-3.061512429,38.447674
-60.94487056,-40.08480424
107.2046522,-23.36796257
99.56618048,-24.73577244
3.906908251,40.70881007
4.993162063,41.06128128
-54.12033434,-38.8627446
-20.38032042,-8.200681718
-17.83169657,-7.299488776
-6.953424008,-3.452933537
-28.83429224,-11.19000465
-20.93977444,-8.398504559
-56.62475131,-39.31120685
-25.22892191,-9.91514634
-28.70996913,-11.14604402
-14.84794181,-6.244433625
-26.34782994,-10.31079202
-21.37490534,-8.552366769
-2.508137846,38.62723481
1.140035334,39.81100604
-50.3637089,-38.19005122
-40.89363439,-15.45418589
92.30337129,-26.03631298
-59.06655784,-39.74845755
-17.89385812,-7.321469092
-1.66385964,-1.606997368
-4.229747661,38.06860119
-16.4641423,-6.815921832
98.81485539,-24.87031112
-29.26942314,-11.34386686
2.738673019,40.32973726
98.43919284,-24.93758046
-7.058106643,37.15084596
-51.55330696,-38.40307079
-13.72903377,-5.848787943
5.362078452,41.18098848
2.41074734,40.22333086
106.9542105,-23.41280879
0.422697911,39.57824204
3.271552248,40.50264766
-35.67206356,-13.60783937
-23.98569076,-9.475540027
-3.696868432,38.2415116
-30.13968495,-11.65159128
-17.39656566,-7.145626567
-2.098230747,38.76024281
99.31573878,-24.78061867
-27.71538421,-10.79435897
3.169075473,40.46939566
-1.503865454,38.95310442
-0.90950016,39.14596602
-0.253648802,39.35877883
-2.344175006,38.68043801
-38.46933365,-14.59695357
-50.48892975,-38.21247433
-4.55767334,37.96219479
2.902635859,40.38294046
-6.2587878,37.41021157
-6.197301735,37.43016277
-3.348053674,-2.178075229
-4.373215145,38.02204839
-5.869376056,37.53656918
-1.954763262,38.80679561
3.333038313,40.52259886
-10.31014811,-4.639870582
-34.49099397,-13.19021337
-40.78431402,-36.4746831
5.919665849,41.34000556
3.640468637,40.62235487
-5.193029343,37.75603238
91.73987747,-26.13721699
1.365484238,39.88416045
103.635858,-24.00702128
-1.658027659,-1.62938803
-56.56214088,-39.2999953
4.624245674,40.94157408
-29.64239249,-11.47574875
-0.110181318,39.40533163
-21.62355157,-8.640288032
-40.27201882,-15.23438273
-0.663555901,39.22577083
-6.771171674,37.24395157
5.157124902,41.11448448
-11.55337926,-5.079476895
-50.42631932,-38.20126278
4.419292125,40.87507008
-39.40175701,-14.92665831
102.9471434,-24.1303484
-41.20444218,-15.56408746
-3.102503139,38.4343732
-58.56567445,-39.6587651
-50.55154017,-38.22368589
-3.942812692,38.16170679
-3.037245886,-2.06817365
-14.41281091,-6.090571415
-12.17499484,-5.299280052
-48.67322745,-37.8873392
1.099044624,39.79770524
-2.042660967,-1.7164886
-55.68559494,-39.14303351
5.218610967,41.13443568
-58.81611615,-39.70361133
-7.140088063,37.12424436
108.9577441,-23.05403899
-3.184484559,38.4077716
-54.37077604,-38.90759083
5.881523777,41.33734878
89.23546051,-26.58567924
-15.46955738,-6.464236782
-41.57741152,-15.69596936
-16.83711165,-6.947803726
-7.365536967,37.05108996
-1.093958355,39.08611242
-44.41571862,-37.12495337
-3.082007784,38.4410236
3.681459347,40.63565567
106.140275,-23.55855903
99.75401175,-24.70213777
-20.25599731,-8.156721087
-58.4404536,-39.63634199
-20.13167419,-8.112760456
-28.4613229,-11.05812275
5.300592387,41.16103728
-1.647332938,38.90655162
-47.29579812,-37.64068496
98.25136157,-24.97121513
-24.54514477,-9.673362867
-22.12084403,-8.816130557
-43.10089971,-36.88951068
108.5820815,-23.12130833
-57.93957021,-39.54664954
-28.8964538,-11.21198496
-41.14228062,-15.54210715
-51.99157993,-38.48155168
-60.31876632,-39.97268868
-18.70195837,-7.607213196
-22.68029805,-9.013953398
-5.787394636,37.56317078
-8.507462945,-4.002441428
-35.79638668,-13.6518
95.99738631,-25.37483115
-41.95038087,-15.82785125
-2.221202877,38.72034041
-29.39374626,-11.38782749
5.546536646,41.24084209
-5.316001473,37.71612998
92.17815044,-26.05873609
101.4444932,-24.39942575
-14.72361869,-6.200472994
92.55381298,-25.99146675
-9.191240077,-4.2442249
-50.23848805,-38.16762811
-40.59648275,-36.44104843
-13.66687222,-5.826807628
-4.619159405,37.94224359
-28.27483822,-10.99218181
5.923199146,41.45423611
-49.11150042,-37.96582009
102.1332079,-24.27609863
-7.488509097,37.01118756
98.87746581,-24.85909956
-25.78837592,-10.11296918
-4.3937105,38.01539799
-1.872781843,38.83339721
-41.22258699,-36.55316399
-3.717363787,38.2348612
-9.875017209,-4.486008372
-0.171667382,39.38538043
-44.85399158,-37.20343426
91.61465662,-26.1596401
-55.3099324,-39.07576417
-46.92013558,-37.57341562
3.292047603,40.50929806
93.1173068,-25.89056275
-7.549995161,36.99123636
-49.36194212,-38.01066632
92.05292959,-26.0811592
-49.98804636,-38.12278188
98.75224496,-24.88152267
-4.777769496,-2.683622489
1.693409917,39.99056685
91.99031917,-26.09237076
-59.00394742,-39.737246
-17.45872722,-7.167606883
90.55027941,-26.35023656
-37.84771808,-14.37715042
-12.73444885,-5.497102893
-3.658861461,-2.287976807
-21.06409756,-8.442465191
-4.591284823,-2.617681542
91.05116281,-26.2605441
89.36068136,-26.56325613
-9.439886307,-4.332146163
-33.8693784,-12.97041022
103.9489102,-23.9509635
-23.79920608,-9.40959908
-53.93250307,-38.82910993
-38.0963643,-14.46507168
-0.602069836,39.24572203
0.217744361,39.51173803
-53.61945095,-38.77305215
-40.45850349,-15.30032368
-7.078601998,37.14419556
-22.92894428,-9.10187466
-0.622565191,39.23907163
-19.32357395,-7.827016352
-47.48362939,-37.67431963
-18.32898903,-7.475331302
91.11377323,-26.24933255
-0.007704543,39.43858363
-3.409933463,38.3346172
-23.17759051,-9.189795923
-46.73230431,-37.53978095
-13.04525664,-5.607004471
100.0044534,-24.65729155
-23.05326739,-9.145835292
95.05822994,-25.5430045
-44.66616031,-37.16979959
-1.524360809,38.94645402
109.1455754,-23.02040432
-59.44222039,-39.81572689
-4.147766241,38.09520279
-2.631109975,38.58733241
-3.532905593,38.2947148
-0.376620932,39.31887643
-25.72621437,-10.09098886
-34.92612487,-13.34407558
-23.36407518,-9.25573687
-16.21549607,-6.728000569
94.18168401,-25.69996629
-20.31815887,-8.178701403
-6.269646875,-3.211150064
-17.02359632,-7.013744673
-17.33440411,-7.123646251
89.61112305,-26.5184099
-23.11542895,-9.167815607
-17.14791943,-7.057705304
-3.143493849,38.4210724
-56.93780343,-39.36726464
-0.069190608,39.41863243
-1.913772552,38.82009641
-33.18560126,-12.72862674
5.833471615,41.33394769
-40.1476957,-15.1904221
-5.152038633,37.76933318
95.62172376,-25.44210049
-7.283555547,37.07769156
2.49272876,40.24993246
1.898363467,40.05707085
-1.643447705,-1.685364686
-0.458602352,39.29227483
93.74341104,-25.77844718
-4.660150115,37.92894279
-50.80198187,-38.26853211
3.046103343,40.42949326
-5.89667753,-3.07926817
-7.699362697,-3.716697324
-6.279283155,37.40356117
-15.90468828,-6.618098991
-16.0290114,-6.662059622
94.11907358,-25.71117784
-3.161569001,-2.112134282
-15.03442648,-6.310374572
97.18698436,-25.16181158
94.4321257,-25.65512006
93.55557977,-25.81208185
-2.467147136,38.64053561
-57.06302427,-39.38968775
-2.364670361,38.67378761
-23.61272141,-9.343658133
-6.074329606,37.47006517
-4.496187275,37.98214599
-31.3829161,-12.09119759
-12.54796418,-5.431161946
0.299725781,39.53833964
101.5071036,-24.3882142
-31.56940077,-12.15713854
-1.646363696,-1.674169355
-12.36147951,-5.365220999
1.775391337,40.01716845
-3.783184576,-2.331937438
-46.60708346,-37.51735784
-3.721023019,-2.309957122
99.6287909,-24.72456089
107.4550939,-23.32311634
97.75047818,-25.06090758
-1.196435129,39.05286042
-44.97921243,-37.22585737
-44.91660201,-37.21464582
-39.89904947,-15.10250083
103.8862997,-23.96217505
-0.581574481,39.25237243
-31.63156233,-12.17911885
-2.69259604,38.56738121
2.513224115,40.25658286
1.303998173,39.86420925
99.3783492,-24.76940711
-6.812162383,37.23065077
5.792480906,41.32064689
5.341583097,41.17433808
-39.65040324,-15.01457957
-52.30463205,-38.53760947
-4.188756951,38.08190199
-34.24234774,-13.10229211
-24.29649854,-9.585441605
-42.16174335,-36.72133734
-5.971852831,37.50331718
-33.37208594,-12.79456769
-42.85045801,-36.84466446
